FID;Shape *;OBJECTID_1;dpa_provin;dpa_despro;cod_zona;dpa_canton;dpa_descan;cod_distri;des_distri;cod_circ;des_circ;cod_postal;Shape_Leng;Shape_Area;Poblacion
774;Poligono;713;14;MORONA SANTIAGO;6;1410;LOGROÑO;14D03;LOGROÑO-SUCUA;14D03C03;LOGROÑO-SHIMPIS;140303;105.466.060.359;315.083.556.929;3946
775;Poligono;714;14;MORONA SANTIAGO;6;1402;GUALAQUIZA;14D04;GUALAQUIZA-SAN JUAN BOSCO;14D04C02;AMAZONAS (ROSARIO DE CUYES)-NUEVA TARQUI- EL IDEAL;140405;101.974.196.964;421.625.925.474;1743
776;Poligono;715;14;MORONA SANTIAGO;6;1402;GUALAQUIZA;14D04;GUALAQUIZA-SAN JUAN BOSCO;14D04C04;BOMBOIZA;140404;16.392.799.228;684.354.813.831;4623
777;Poligono;716;14;MORONA SANTIAGO;6;1408;SAN JUAN BOSCO;14D04;GUALAQUIZA-SAN JUAN BOSCO;14D04C07;SANTIAGO DE PANANZA-SAN CARLOS DE LIMON;140403;207.217.004.078;767.818.778.171;1260
778;Poligono;717;14;MORONA SANTIAGO;6;1409;TAISHA;14D05;TAISHA;14D05C03;HUASAGA (CAB EN WAMPUIK)-TUUTINENTZA-PUMPUENTSA;140503;387.564.552.526;3479754026;8592
779;Poligono;718;14;MORONA SANTIAGO;6;1409;TAISHA;14D05;TAISHA;14D05C02;TAISHA;140501;308.605.935.711;1727578147;5953
780;Poligono;719;14;MORONA SANTIAGO;6;1409;TAISHA;14D05;TAISHA;14D05C01;MACUMA;140502;153.692.888.264;953.225.618.053;3886
781;Poligono;720;14;MORONA SANTIAGO;6;1412;TIWINTZA;14D06;LIMON INDANZA-SANTIAGO-TIWINTZA;14D06C06;SAN JOSE DE MORONA-SANTIAGO;140604;255.286.411.081;1172044971;6994
782;Poligono;721;14;MORONA SANTIAGO;6;1405;SANTIAGO;14D06;LIMON INDANZA-SANTIAGO-TIWINTZA;14D06C04;TAYUZA-SAN FRANCISCO DE CHINIMBIMI-PATUCA;140602;143.412.166.879;484.396.440.147;4722
783;Poligono;722;14;MORONA SANTIAGO;6;1405;SANTIAGO;14D06;LIMON INDANZA-SANTIAGO-TIWINTZA;14D06C05;SANTIAGO DE MENDEZ-COPAL-CHUPIANZA-SAN LUIS DE EL ACHO (CAB EN EL ACHO);140601;198.201.056.201;914.301.201.079;4574
784;Poligono;723;10;IMBABURA;1;1004;OTAVALO;10D02;ANTONIO ANTE-OTAVALO;10D02C15;SAN JOSE DE QUICHINCHE;100214;5.557.064.245;854.878.808.899;8476
785;Poligono;724;10;IMBABURA;1;1004;OTAVALO;10D02;ANTONIO ANTE-OTAVALO;10D02C10;SAN JUAN DE ILUMAN-DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE);100208;27.005.290.204;209.183.909.434;8584
786;Poligono;725;10;IMBABURA;1;1001;IBARRA;10D01;IBARRA-PIMAMPIRO-SAN MIGUEL DE URCUQUI;10D01C07;SAN MIGUEL DE IBARRA;100102;532.521.673;130.238.916.525;8831
787;Poligono;726;10;IMBABURA;1;1001;IBARRA;10D01;IBARRA-PIMAMPIRO-SAN MIGUEL DE URCUQUI;10D01C01;SAN MIGUEL DE IBARRA;100105;70.862.420.465;759.559.269.449;11876
788;Poligono;727;10;IMBABURA;1;1006;SAN MIGUEL DE URCUQUI;10D01;IBARRA-PIMAMPIRO-SAN MIGUEL DE URCUQUI;10D01C20;URCUQUI-SAN BLAS-TUMBABIRO;100114;79.269.292.217;173.702.333.913;9847
789;Poligono;728;10;IMBABURA;1;1001;IBARRA;10D01;IBARRA-PIMAMPIRO-SAN MIGUEL DE URCUQUI;10D01C08;SAN MIGUEL DE IBARRA;100108;6.463.410.056;189.361.182.012;12199
790;Poligono;729;10;IMBABURA;1;1004;OTAVALO;10D02;ANTONIO ANTE-OTAVALO;10D02C11;GONZALEZ SUAREZ-SAN RAFAEL;100205;45.885.676.228;690.532.073.295;11118
791;Poligono;730;10;IMBABURA;1;1004;OTAVALO;10D02;ANTONIO ANTE-OTAVALO;10D02C13;EUGENIO ESPEJO (CALPAQUI);100206;26.556.102.042;233.706.257.382;7354
792;Poligono;731;10;IMBABURA;1;1004;OTAVALO;10D02;ANTONIO ANTE-OTAVALO;10D02C14;PATAQUI;100216;17.408.008.746;949.164.529.799;269
793;Poligono;732;10;IMBABURA;1;1004;OTAVALO;10D02;ANTONIO ANTE-OTAVALO;10D02C06;OTAVALO;100202;14.367.551.447;594.936.391.651;24611
794;Poligono;733;10;IMBABURA;1;1004;OTAVALO;10D02;ANTONIO ANTE-OTAVALO;10D02C07;OTAVALO;100215;25.130.945.985;135.251.448.657;3519
795;Poligono;734;10;IMBABURA;1;1004;OTAVALO;10D02;ANTONIO ANTE-OTAVALO;10D02C10;SAN JUAN DE ILUMAN-DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE);100207;19.873.820.078;841.590.608.665;4886
796;Poligono;735;10;IMBABURA;1;1004;OTAVALO;10D02;ANTONIO ANTE-OTAVALO;10D02C08;OTAVALO;100201;9.174.932.148;325.451.196.182;13658
797;Poligono;736;11;LOJA;7;1105;CHAGUARPAMBA;11D02;CATAMAYO-CHAGUARPAMBA-OLMEDO;11D02C07;AMARILLOS-SANTA RUFINA-BUENAVISTA;110209;59.189.191.266;120.275.113.703;3087
798;Poligono;737;11;LOJA;7;1116;OLMEDO;11D02;CATAMAYO-CHAGUARPAMBA-OLMEDO;11D02C09;LA TINGUE;110206;40.521.328.213;514.911.937.171;668
799;Poligono;738;11;LOJA;7;1102;CALVAS;11D06;CALVAS-GONZANAMA-QUILANGA;11D06C03;CARIAMANGA;110605;86.353.211.056;168.836.209.257;11181
800;Poligono;739;11;LOJA;7;1107;GONZANAMA;11D06;CALVAS-GONZANAMA-QUILANGA;11D06C07;GONZANAMA;110607;44.958.118.995;728.511.612.619;2521
801;Poligono;740;11;LOJA;7;1107;GONZANAMA;11D06;CALVAS-GONZANAMA-QUILANGA;11D06C06;SACAPALCA-CHANGAIMINA (LA LIBERTAD);110606;94.467.463.695;231.417.247.113;4919
802;Poligono;741;11;LOJA;7;1108;MACARA;11D07;MACARA-SOZORANGA;11D07C03;LARAMA;110702;44.682.913.857;933.438.962.875;1080
803;Poligono;742;11;LOJA;7;1108;MACARA;11D07;MACARA-SOZORANGA;11D07C02;LA VICTORIA-SABIANGO (LA CAPILLA);110705;72.267.261.299;113.133.735.745;2208
804;Poligono;743;11;LOJA;7;1105;CHAGUARPAMBA;11D02;CATAMAYO-CHAGUARPAMBA-OLMEDO;11D02C06;CHAGUARPAMBA-EL ROSARIO;110208;67.780.317.464;193.250.484.509;4074
805;Poligono;744;11;LOJA;7;1107;GONZANAMA;11D06;CALVAS-GONZANAMA-QUILANGA;11D06C08;NAMBACOLA-PURUNUMA (EGUIGUREN);110609;105.769.387.866;394.416.097.296;5276
